"Código Liquidação";"Código Liquidação Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo"
"200350000012020NS000282";"2020NS000282";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Departamento de Polícia Federal";"200350";"SUPERINTENDENCIA REG DA POLICIA FEDERAL EM MG";"00001";"TESOURO NACIONAL";"33373325000179";"ARAUJO ABREU ENGENHARIA S/A";"DOCUMENTO HABIL GERADO A PARTIR DA NOTA FISCAL 00202448, DE 03/12/2019,          DA EMPRESA ARAUJO ABREU ENGENHARIA S.A., CONTRATO 08/2018, SERVICOS                    DE MANUTENCAO PREDIAL COM FORNECIMENTO DE MATERIAIS.                  .................................................................................................................................................................................................... PROCESSO: 08350.020382/2019-48";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"MU";"Múltiplo";"0001";"OUTRAS DESPESAS ADMINISTRATIVAS";"00";"NAO ATRIBUIDO"
"160341000012020NS000128";"2020NS000128";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160341";"17º GRUPO DE ARTILHARIA DE CAMPANHA";"00001";"TESOURO NACIONAL";"08583283000153";"SANTOS & SANTOS LTDA";"AQUISICAO DE MATERIAL EXPEDIENTE (LISOLENE)- DANFE1767 DE 02DEZ19 - OPTANTE PELO SIMPLES - LIC: PE 02/2019-UG 160340 UGP - DOC REQS: DIEX NR 15-SEC INFO/17º GAC,25/11/19 - UG 160341.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0004";"MANUTENCAO GERAL";"00";"NAO ATRIBUIDO"
"135082132032020NS000062";"2020NS000062";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02310368000181";"C. QUEIROZ FERREIRA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"P&D EM SISTEMAS INOVADORES PARA A PRODUCAO AGROPECUARIA SUSTENTAVEL";"00";"NAO ATRIBUIDO"
"120629000012020NS000784";"2020NS000784";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"28094497000173";"FRANCINE GIANA GUIDO E CIA LTDA";"APL: GAP-CO - NF 2400 DE 16/12/2019  UG. 120629 GAP-CO PROCESSO 67278.008694/2018-81. NOTA FISCAL EMITIDA EM 16/12/2019 E RECEBIDA EM 16/12/2019, POREM, LANCADA A POSTERIOR DEVIDO A DATA DE FECHAMENTO DOS SISTEMAS.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0002";"MANUTENCAO GERAL";"00";"NAO ATRIBUIDO"
"153037152222020NS000039";"2020NS000039";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26231";"Universidade Federal de Alagoas";"153037";"UNIVERSIDADE FEDERAL DE ALAGOAS";"15222";"UNIVERSIDADE FEDERAL DE ALAGOAS";"153037";"UNIVERSIDADE FEDERAL DE ALAGOAS";"REGULARIZACAO DE SALDO DE EMPENHO 2017NE001752.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"36";"Outros Serviços de Terceiros - Pessoa Física";"0001";"PRONATEC";"14";"PRONATEC"
"135082132032020NS000070";"2020NS000070";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02162566000145";"CCL HIDRAULICA LTDA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0003";"P&D PARA A SUSTENTABILIDADE DO AGRONEGOCIO E SUA ADAPTACAO AS MUDANCAS AMBIENTAIS GLOBAIS";"00";"NAO ATRIBUIDO"
"390079392522020NS000047";"2020NS000047";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"39000";"Ministério da Infraestrutura";"39252";"Departamento Nacional de Infraestrutura de Tr";"390079";"ADMINISTRAÇÃO DA HIDROVIA DO PARAGUAI";"39252";"DEPTO. NAC. DE INFRA­ESTRUTURA DE TRANSPORTES";"05266821000198";"NOVATA ENGENHARIA LTDA";"LIQUIDACAO DA 8 MEDICAO PARCIAL CORRESPONDENTE AO PERIODO DE 01/12/2019 A 31/12/2019, REFERENTE AOS SERVICOS DE EXECUCAO DAS OBRAS E DEMAIS ACOES NECESSARIAS E SUFICIENTES PARA A ENTREGA FINAL DO DOLPHIN DE PROTECAO DO PILAR P5A DA PONTE SOBRE O RIO PARAGUAI NA RODOVIA BR-262/MS, PROC.50016.000027/2020-53.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0000";"MELHORAMENTOS NO CANAL DE NAVEGACAO DA HIDROVIA DOS RIOS PARANA E PARAGUAI";"00";"NAO ATRIBUIDO"
"170325000012020NS000038";"2020NS000038";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170325";"DELEGACIA DA RFB EM POCOS DE CALDAS";"00001";"TESOURO NACIONAL";"17851361000144";"DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO";"PAGAMENTO CONTA 12/2019 DMAE-(DEPARTAMENTO DE AGUA ESGOTO),NR DA CONTA 34.070, PROCESSO 13656.7230.065/2018-03 REFERENTE AO FORNECIMENTO DE AGUA E RECOLHIMENTO DE ESGOTO, P/ DELEGACIA DA RECEITA FEDERAL DO BRASIL EM POCOS DE CALDAS/MG, RUA SAO PAULO 461-CENTRO, LEITURA ANTERIOR 22/11/2019 (3.119), LEITURA ATUAL 26/12/2019 (3.198), CONSUMO REAL 70 M3, NR DO HIDROMETRO A13U156913, NR GUIA 10034070013071019, AUTARQUIA EMPRESA PUBLICA SOCIEDADE DE ECONOMIA MISTA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"NAO ATRIBUIDO"
"373072372012020NS000003";"2020NS000003";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22201";"Instituto Nacional de Colonização e Reforma A";"373072";"SUPERINT.ESTADUAL DO R.G.DO SUL-INCRA/SR-11";"37201";"INSTITUTO NAC. DE COLONIZACAO E REF.AGRARIA";"11945317000117";"ATLANTIS - SERVICOS TERCEIRIZADOS LTDA";"CONTRATO RS/02/2013 - VIGENCIA 14FEV2019 A 13FEV2020 - LIMPEZA E CONSERVACAO COM MAO DE OBRA, MATERIAL DE LIMPEZA E EQUIPAMENTOS?DEZEMBRO/2019 - NFS-E 2601 - COM ESTORNO DA DESPESA REFERENTE A AQUISICAO DE PAPEL TOALHA - NFC-E 69357 - VALOR R$112,40 E DANFE 1111115 -?PAPEL HIGIENICO E TOALHAS DE PAPEL - VALOR 500,00 - TOTAL 612,40 (SEI 5171841)";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"37";"Locação de Mão-de-Obra";"0003";"DESPESAS ADMINISTRATIVAS GERAIS";"00";"NAO ATRIBUIDO"
"120629000012020NS000606";"2020NS000606";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"09270454000157";"SUPRA COMERCIO DE ALIMENTOS LTDA";"APL: GAP-CO - NF 13201 DE 10/12/2019  UG. 120629 GAP-CO PROCESSO 67278.008694/2018-81.  NF DO DIA 10/12/2019, A ALTERACAO SE DA DEVIDO AO FECHAMENTO DO SISTEMA, ONDE O MESMO NAO PERMITE LANCAR COM A DATA RETROATIVA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
"512035572022020NS000017";"2020NS000017";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"25000";"Ministério da Economia";"37202";"Instituto Nacional do Seguro Social";"512035";"GERÊNCIA EXECUTIVA PORTO VELHO";"57202";"INSTITUTO NACIONAL DO SEGURO SOCIAL";"10585532000191";"IMPACTUAL VIGILANCIA E SEGURANCA LTDA";"VIG DEZ/19 AP 4064/20 REPACTUACAO?NF 5071-5072-5073-5074-5075-5076-5077-5078-5079-5080-5081-5082-5083-5084-5089-5085-5086-5087-5088";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"37";"Locação de Mão-de-Obra";"0000";"FUNCIONAMENTO DAS UNIDADES DESCENTRALIZADAS DA PREVIDENCIA SOCIAL - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"390079392522020NS000020";"2020NS000020";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"39000";"Ministério da Infraestrutura";"39252";"Departamento Nacional de Infraestrutura de Tr";"390079";"ADMINISTRAÇÃO DA HIDROVIA DO PARAGUAI";"39252";"DEPTO. NAC. DE INFRA­ESTRUTURA DE TRANSPORTES";"12656408000103";"IDEAL SERVICOS LTDA";"LIQUIDACAO DA DESPESA DAS NOTAS FISCAIS 1847 E 1848 EMITIDA PELA EMPRESA IDEAL SERVICOS LTDA-ME, REFERENTE AO MES DE DEZEMBRO/2019, PRESTACAO DE SERVICOS DE APOIO ADMINISTRATIVO, PARA A SEDE DA AHIPAR CAMPO GRANDE/MS E CORUMBA/MS DO CONTRATO N.348/2019, PROC. 50016.000102/2019-42.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"37";"Locação de Mão-de-Obra";"-1";"Sem informação";"-1";"Sem informação"
"413010412312020NS000100";"2020NS000100";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"41231";"AGENCIA NACIONAL DE TELECOMUNICACOES";"05807475000108";"SEGINFO COMERCIO & SERVICOS EMPRESARIAIS EIRELI";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL PERMANENTE - COMPRA ENTRADA 1250/1 UG DE ORIGEM 413010.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"52";"Equipamentos e Material Permanente";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"154055152542020NS000050";"2020NS000050";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26268";"Fundação Universidade Federal de Rondônia";"154055";"FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA";"15254";"FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA";"76535764000143";"OI S.A. - EM RECUPERACAO JUDICIAL";"999102044.000085/2018-69. LIQUIDACAO FAT. 2001.001570839 (CACOAL) - TELEFONIA FIXA/MOVEL, PERIODO DE 26/11/2019 A 25/12/2019 REF. MES JA/2020 CF. MEMORANDO Nº 4/2020/CADM-CAC/CCAC/UNIR RET. DE 9,45 CF. IN/SRF 1234/2012";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0000";"FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"135082132032020NS000063";"2020NS000063";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02310368000181";"C. QUEIROZ FERREIRA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"P&D EM SISTEMAS INOVADORES PARA A PRODUCAO AGROPECUARIA SUSTENTAVEL";"00";"NAO ATRIBUIDO"
"120628000012020NS000081";"2020NS000081";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120628";"GRUPAMENTO DE APOIO DE BELÉM";"00001";"TESOURO NACIONAL";"40432544000147";"CLARO S.A.";"APL: ALA 9 - NF 20/01/20004358-2 DE 01/01/2020  UG. 120654 ALA 9 PROCESSO 67215.016841/2017-41 CONTRATO 017/GAPBE-ALA9/2019";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"MANUTENCAO GERAL";"00";"NAO ATRIBUIDO"
"135082132032020NS000069";"2020NS000069";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02162566000145";"CCL HIDRAULICA LTDA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0003";"P&D PARA A SUSTENTABILIDADE DO AGRONEGOCIO E SUA ADAPTACAO AS MUDANCAS AMBIENTAIS GLOBAIS";"00";"NAO ATRIBUIDO"
"110097000012020NS000360";"2020NS000360";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"00001";"TESOURO NACIONAL";"08635517000169";"ALEXANDRO JAEGER";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL DE CONSUMO - IMEDIATO ENTRADA 3346/1 UG DE ORIGEM 110097.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"2000";"DESPESAS ADMINISTRATIVAS";"00";"NAO ATRIBUIDO"
"120629000012020NS000780";"2020NS000780";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"28094497000173";"FRANCINE GIANA GUIDO E CIA LTDA";"APL: GAP-CO - NF 2398 DE 13/12/2019  UG. 120629 GAP-CO PROCESSO 67278.008694/2018-81. NOTA FISCAL EMITIDA EM 13/12/2019 E RECEBIDA EM 16/12/2019, POREM, LANCADA A POSTERIOR DEVIDO A DATA DE FECHAMENTO DOS SISTEMAS.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
"512035572022020NS000005";"2020NS000005";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"25000";"Ministério da Economia";"37202";"Instituto Nacional do Seguro Social";"512035";"GERÊNCIA EXECUTIVA PORTO VELHO";"57202";"INSTITUTO NACIONAL DO SEGURO SOCIAL";"63777718000109";"C. M - COMERCIO SERVICOS E CONSTRUCOES LTDA";"DEA PREDIAL DEZ/2019?NF 2364,2349, 2347, 2351, 2353, 2355, 2357, 2359, 2361, 2363, 2360, 2348, 2350, 2352, 2354, 2356, 2358, 2362, 2365.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0000";"FUNCIONAMENTO DAS UNIDADES DESCENTRALIZADAS DA PREVIDENCIA SOCIAL - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
